petition_id,title,similarity_score,sentiment_polarity,sentiment_subjectivity,tone
704793,Legally enshrine the right of adults to physically transition using NHS services,0.2088,0.13753407086740418,0.4445065736732405,Neutral
710486,Ban new waste incinerators and revoke permits where building has not begun,0.2306,0.0591298701298701,0.2909567099567099,Dismissive
705772,Impose a lifetime ban on animal ownership for anyone convicted of animal cruelty,0.3488,0.13442460317460317,0.5068452380952382,Neutral
700161,Require MPs proven to mislead public to resign and create 'fact check' committee,0.265,0.15742857142857145,0.4664285714285714,Neutral
716515,Remove CWS Bill clauses and provide tangible support to home educating parents,0.5088,0.09569887183523547,0.29453135248589796,Dismissive
700041,Hold a referendum on re-joining the European Union,0.2862,0.09390775890775892,0.38623709623709623,Neutral
701850,Require parliamentary scrutiny of any proposal to amend the Royal Mail USO,0.3771,0.10340136054421765,0.34066370137798707,Neutral
718406,Shut the migrant hotels down now and deport illegal migrants housed there,0.3447,0.028402677569344233,0.3827825877825877,Neutral
716157,Make the Tour de France a Category A event so it is free-to-air,0.3905,0.18559297667506622,0.46369225302061107,Neutral
716686,Recognise the production and serving of cask ale as Intangible Cultural Heritage,0.6959,0.11309523809523811,0.2928571428571428,Dismissive
715292,Raise statutory maternity/paternity pay to match the National Living Wage,0.3253,0.19138601511482872,0.42288747034509744,Neutral
717065,End the Injustice: Grant British Nationals (Overseas) Full UK Citizenship,0.2628,0.052241805813234385,0.28979591836734697,Dismissive
700029,"Embed food, farming, and sustainability education into the national curriculum",0.364,0.11585906232132645,0.4535111900677937,Neutral
721547,Protect Disabled people who cannot work from planned cuts to benefits,0.3885,0.054774531024531024,0.3846858895073181,Neutral
702424,Enact measures to combat knife crime,0.3167,-0.006967457829526791,0.44630168681892807,Dismissive
700168,Remove the 28 day time limit from the unduly lenient sentence scheme for murder,0.3778,0.08784893267651891,0.5694170771756979,Neutral
700292,Fund more CAR T Cell Therapy for eligible patients,0.5092,0.1779173032849503,0.531380506748154,Neutral
701064,Make the sale of catapults/ammunition and carrying catapults in public illegal.,0.4317,-0.0005646745230078565,0.3440411054994389,Dismissive
701159,Allow transgender people to self-identify their legal gender.,0.5624,0.19123376623376628,0.5654761904761905,Neutral
701517,Fund Awareness and Training Regarding Functional Neurological Disorders (FND),0.4031,0.22346861471861473,0.5445481601731601,Supportive
701838,We are petitioning for a National Referendum on Assisted Dying,0.1941,0.09722222222222222,0.5055555555555555,Neutral
702341,"Change the law, so that UK citizens can force an immediate General Election",0.1349,0.1,0.3225,Neutral
702538,Lift restrictions on prescribing puberty blockers to trans children.,0.2746,0.10425873877366411,0.42671383343025115,Neutral
703284,Ban large solar schemes on farmland/open countryside and promote solar on roofs,0.4662,0.1296028466483012,0.4011593204775024,Neutral
706884,Postural Tachycardia Syndrome: fund training and facilities,0.3195,0.14840909090909093,0.42446969696969705,Neutral
710067,Grant automatic visa extension and ILR for Ukrainians after 5 years,0.2779,0.20722610722610726,0.4732590326340326,Supportive
711976,Launch a Public Inquiry into Grooming Gangs,0.1939,0.1872794612794613,0.41515488215488217,Neutral
712763,Allow motorcycles in bus lanes as default,0.4723,0.06720593692022264,0.37848979591836734,Neutral
713128,Do not restrict vape flavours,0.5083,0.15088341890667467,0.5057636162287327,Neutral
713714,"Increase funding for people with Parkinson’s and implement the ""Parky Charter""",0.083,0.18057900432900437,0.4105731768231769,Neutral
